id,category,english,amharic,amharicTranslit,afaanOromo,oromoPronunciation,context,exampleEn,difficulty,tags,reviewStatus
ethio-0677,Useful Phrases,I want balcony,ባልኮኒ እፈልጋለሁ,balkoni ifeligalehu,baalkonii nan barbaada,baalkonii nan barbaada,requesting balcony; hotel room features,Use 'I want balcony' in requesting balcony; hotel room features.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|request,batch_2_ai_generated_needs_native_speaker_review
ethio-0678,Useful Phrases,I need balcony,ባልኮኒ ያስፈልገኛል,balkoni yasfelgeñal,baalkonii na barbaachisa,baalkonii na barbaachisa,explaining that balcony is needed; hotel room features,Use 'I need balcony' in explaining that balcony is needed; hotel room features.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|need,batch_2_ai_generated_needs_native_speaker_review
ethio-0679,Useful Phrases,where is the balcony,ባልኮኒ የት ነው,balkoni yet new,baalkonii eessa jira,baalkonii eessa jira,asking location of balcony; hotel room features,Use 'where is the balcony' in asking location of balcony; hotel room features.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|location,batch_2_ai_generated_needs_native_speaker_review
ethio-0680,Useful Phrases,how much is the balcony,ባልኮኒ ስንት ነው,balkoni sint new,baalkonii meeqa,baalkonii meeqa,asking price or cost of balcony; hotel room features,Use 'how much is the balcony' in asking price or cost of balcony; hotel room features.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|market,batch_2_ai_generated_needs_native_speaker_review
ethio-0681,Useful Phrases,please give me balcony,ባልኮኒ እባክዎ ይስጡኝ,balkoni ibakwo yistugn,baalkonii maaloo naaf kenni,baalkonii maaloo naaf kenni,polite request for balcony; hotel room features,Use 'please give me balcony' in polite request for balcony; hotel room features.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|polite,batch_2_ai_generated_needs_native_speaker_review
ethio-0682,Useful Phrases,the balcony is not working,ባልኮኒ አይሰራም,balkoni ayiseram,baalkonii hin hojjetu,baalkonii hin hojjetu,reporting a problem with balcony; hotel room features,Use 'the balcony is not working' in reporting a problem with balcony; hotel room features.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|problem,batch_2_ai_generated_needs_native_speaker_review
ethio-0683,Useful Phrases,I want blanket,ብርድ ልብስ እፈልጋለሁ,bird libs ifeligalehu,uffata qorraa nan barbaada,uffata qorraa nan barbaada,"requesting blanket; hotel, home, cold weather needs","Use 'I want blanket' in requesting blanket; hotel, home, cold weather needs.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|request,batch_2_ai_generated_needs_native_speaker_review
ethio-0684,Useful Phrases,I need blanket,ብርድ ልብስ ያስፈልገኛል,bird libs yasfelgeñal,uffata qorraa na barbaachisa,uffata qorraa na barbaachisa,"explaining that blanket is needed; hotel, home, cold weather needs","Use 'I need blanket' in explaining that blanket is needed; hotel, home, cold weather needs.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|need,batch_2_ai_generated_needs_native_speaker_review
ethio-0685,Useful Phrases,where is the blanket,ብርድ ልብስ የት ነው,bird libs yet new,uffata qorraa eessa jira,uffata qorraa eessa jira,"asking location of blanket; hotel, home, cold weather needs","Use 'where is the blanket' in asking location of blanket; hotel, home, cold weather needs.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|location,batch_2_ai_generated_needs_native_speaker_review
ethio-0686,Useful Phrases,how much is the blanket,ብርድ ልብስ ስንት ነው,bird libs sint new,uffata qorraa meeqa,uffata qorraa meeqa,"asking price or cost of blanket; hotel, home, cold weather needs","Use 'how much is the blanket' in asking price or cost of blanket; hotel, home, cold weather needs.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|market,batch_2_ai_generated_needs_native_speaker_review
ethio-0687,Useful Phrases,please give me blanket,ብርድ ልብስ እባክዎ ይስጡኝ,bird libs ibakwo yistugn,uffata qorraa maaloo naaf kenni,uffata qorraa maaloo naaf kenni,"polite request for blanket; hotel, home, cold weather needs","Use 'please give me blanket' in polite request for blanket; hotel, home, cold weather needs.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|polite,batch_2_ai_generated_needs_native_speaker_review
ethio-0688,Useful Phrases,the blanket is not working,ብርድ ልብስ አይሰራም,bird libs ayiseram,uffata qorraa hin hojjetu,uffata qorraa hin hojjetu,"reporting a problem with blanket; hotel, home, cold weather needs","Use 'the blanket is not working' in reporting a problem with blanket; hotel, home, cold weather needs.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|problem,batch_2_ai_generated_needs_native_speaker_review
ethio-0689,Useful Phrases,I want pillow,ትራስ እፈልጋለሁ,teras ifeligalehu,boraatii nan barbaada,boraatii nan barbaada,requesting pillow; hotel and bedroom items,Use 'I want pillow' in requesting pillow; hotel and bedroom items.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|request,batch_2_ai_generated_needs_native_speaker_review
ethio-0690,Useful Phrases,I need pillow,ትራስ ያስፈልገኛል,teras yasfelgeñal,boraatii na barbaachisa,boraatii na barbaachisa,explaining that pillow is needed; hotel and bedroom items,Use 'I need pillow' in explaining that pillow is needed; hotel and bedroom items.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|need,batch_2_ai_generated_needs_native_speaker_review
ethio-0691,Useful Phrases,where is the pillow,ትራስ የት ነው,teras yet new,boraatii eessa jira,boraatii eessa jira,asking location of pillow; hotel and bedroom items,Use 'where is the pillow' in asking location of pillow; hotel and bedroom items.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|location,batch_2_ai_generated_needs_native_speaker_review
ethio-0692,Useful Phrases,how much is the pillow,ትራስ ስንት ነው,teras sint new,boraatii meeqa,boraatii meeqa,asking price or cost of pillow; hotel and bedroom items,Use 'how much is the pillow' in asking price or cost of pillow; hotel and bedroom items.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|market,batch_2_ai_generated_needs_native_speaker_review
ethio-0693,Useful Phrases,please give me pillow,ትራስ እባክዎ ይስጡኝ,teras ibakwo yistugn,boraatii maaloo naaf kenni,boraatii maaloo naaf kenni,polite request for pillow; hotel and bedroom items,Use 'please give me pillow' in polite request for pillow; hotel and bedroom items.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|polite,batch_2_ai_generated_needs_native_speaker_review
ethio-0694,Useful Phrases,the pillow is not working,ትራስ አይሰራም,teras ayiseram,boraatii hin hojjetu,boraatii hin hojjetu,reporting a problem with pillow; hotel and bedroom items,Use 'the pillow is not working' in reporting a problem with pillow; hotel and bedroom items.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|problem,batch_2_ai_generated_needs_native_speaker_review
ethio-0695,Useful Phrases,I want towel,ፎጣ እፈልጋለሁ,fota ifeligalehu,fooxaa nan barbaada,fooxaa nan barbaada,requesting towel; hotel bathroom and personal care,Use 'I want towel' in requesting towel; hotel bathroom and personal care.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|request,batch_2_ai_generated_needs_native_speaker_review
ethio-0696,Useful Phrases,I need towel,ፎጣ ያስፈልገኛል,fota yasfelgeñal,fooxaa na barbaachisa,fooxaa na barbaachisa,explaining that towel is needed; hotel bathroom and personal care,Use 'I need towel' in explaining that towel is needed; hotel bathroom and personal care.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|need,batch_2_ai_generated_needs_native_speaker_review
ethio-0697,Useful Phrases,where is the towel,ፎጣ የት ነው,fota yet new,fooxaa eessa jira,fooxaa eessa jira,asking location of towel; hotel bathroom and personal care,Use 'where is the towel' in asking location of towel; hotel bathroom and personal care.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|location,batch_2_ai_generated_needs_native_speaker_review
ethio-0698,Useful Phrases,how much is the towel,ፎጣ ስንት ነው,fota sint new,fooxaa meeqa,fooxaa meeqa,asking price or cost of towel; hotel bathroom and personal care,Use 'how much is the towel' in asking price or cost of towel; hotel bathroom and personal care.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|market,batch_2_ai_generated_needs_native_speaker_review
ethio-0699,Useful Phrases,please give me towel,ፎጣ እባክዎ ይስጡኝ,fota ibakwo yistugn,fooxaa maaloo naaf kenni,fooxaa maaloo naaf kenni,polite request for towel; hotel bathroom and personal care,Use 'please give me towel' in polite request for towel; hotel bathroom and personal care.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|polite,batch_2_ai_generated_needs_native_speaker_review
ethio-0700,Useful Phrases,the towel is not working,ፎጣ አይሰራም,fota ayiseram,fooxaa hin hojjetu,fooxaa hin hojjetu,reporting a problem with towel; hotel bathroom and personal care,Use 'the towel is not working' in reporting a problem with towel; hotel bathroom and personal care.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|problem,batch_2_ai_generated_needs_native_speaker_review
ethio-0701,Useful Phrases,I want soap,ሳሙና እፈልጋለሁ,samuna ifeligalehu,saamunaa nan barbaada,saamunaa nan barbaada,"requesting soap; hotel, bathroom, washing, health","Use 'I want soap' in requesting soap; hotel, bathroom, washing, health.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|request,batch_2_ai_generated_needs_native_speaker_review
ethio-0702,Useful Phrases,I need soap,ሳሙና ያስፈልገኛል,samuna yasfelgeñal,saamunaa na barbaachisa,saamunaa na barbaachisa,"explaining that soap is needed; hotel, bathroom, washing, health","Use 'I need soap' in explaining that soap is needed; hotel, bathroom, washing, health.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|need,batch_2_ai_generated_needs_native_speaker_review
ethio-0703,Useful Phrases,where is the soap,ሳሙና የት ነው,samuna yet new,saamunaa eessa jira,saamunaa eessa jira,"asking location of soap; hotel, bathroom, washing, health","Use 'where is the soap' in asking location of soap; hotel, bathroom, washing, health.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|location,batch_2_ai_generated_needs_native_speaker_review
ethio-0704,Useful Phrases,how much is the soap,ሳሙና ስንት ነው,samuna sint new,saamunaa meeqa,saamunaa meeqa,"asking price or cost of soap; hotel, bathroom, washing, health","Use 'how much is the soap' in asking price or cost of soap; hotel, bathroom, washing, health.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|market,batch_2_ai_generated_needs_native_speaker_review
ethio-0705,Useful Phrases,please give me soap,ሳሙና እባክዎ ይስጡኝ,samuna ibakwo yistugn,saamunaa maaloo naaf kenni,saamunaa maaloo naaf kenni,"polite request for soap; hotel, bathroom, washing, health","Use 'please give me soap' in polite request for soap; hotel, bathroom, washing, health.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|polite,batch_2_ai_generated_needs_native_speaker_review
ethio-0706,Useful Phrases,the soap is not working,ሳሙና አይሰራም,samuna ayiseram,saamunaa hin hojjetu,saamunaa hin hojjetu,"reporting a problem with soap; hotel, bathroom, washing, health","Use 'the soap is not working' in reporting a problem with soap; hotel, bathroom, washing, health.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|problem,batch_2_ai_generated_needs_native_speaker_review
ethio-0707,Useful Phrases,I want shampoo,ሻምፑ እፈልጋለሁ,shampu ifeligalehu,shaampoo nan barbaada,shaampoo nan barbaada,requesting shampoo; hotel bathroom and personal care,Use 'I want shampoo' in requesting shampoo; hotel bathroom and personal care.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|request,batch_2_ai_generated_needs_native_speaker_review
ethio-0708,Useful Phrases,I need shampoo,ሻምፑ ያስፈልገኛል,shampu yasfelgeñal,shaampoo na barbaachisa,shaampoo na barbaachisa,explaining that shampoo is needed; hotel bathroom and personal care,Use 'I need shampoo' in explaining that shampoo is needed; hotel bathroom and personal care.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|need,batch_2_ai_generated_needs_native_speaker_review
ethio-0709,Useful Phrases,where is the shampoo,ሻምፑ የት ነው,shampu yet new,shaampoo eessa jira,shaampoo eessa jira,asking location of shampoo; hotel bathroom and personal care,Use 'where is the shampoo' in asking location of shampoo; hotel bathroom and personal care.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|location,batch_2_ai_generated_needs_native_speaker_review
ethio-0710,Useful Phrases,how much is the shampoo,ሻምፑ ስንት ነው,shampu sint new,shaampoo meeqa,shaampoo meeqa,asking price or cost of shampoo; hotel bathroom and personal care,Use 'how much is the shampoo' in asking price or cost of shampoo; hotel bathroom and personal care.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|market,batch_2_ai_generated_needs_native_speaker_review
ethio-0711,Useful Phrases,please give me shampoo,ሻምፑ እባክዎ ይስጡኝ,shampu ibakwo yistugn,shaampoo maaloo naaf kenni,shaampoo maaloo naaf kenni,polite request for shampoo; hotel bathroom and personal care,Use 'please give me shampoo' in polite request for shampoo; hotel bathroom and personal care.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|polite,batch_2_ai_generated_needs_native_speaker_review
ethio-0712,Useful Phrases,the shampoo is not working,ሻምፑ አይሰራም,shampu ayiseram,shaampoo hin hojjetu,shaampoo hin hojjetu,reporting a problem with shampoo; hotel bathroom and personal care,Use 'the shampoo is not working' in reporting a problem with shampoo; hotel bathroom and personal care.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|problem,batch_2_ai_generated_needs_native_speaker_review
ethio-0713,Useful Phrases,I want laundry,ልብስ ማጠቢያ እፈልጋለሁ,libs matebiya ifeligalehu,uffata miicuu nan barbaada,uffata miicuu nan barbaada,requesting laundry; hotel service and washing clothes,Use 'I want laundry' in requesting laundry; hotel service and washing clothes.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|request,batch_2_ai_generated_needs_native_speaker_review
ethio-0714,Useful Phrases,I need laundry,ልብስ ማጠቢያ ያስፈልገኛል,libs matebiya yasfelgeñal,uffata miicuu na barbaachisa,uffata miicuu na barbaachisa,explaining that laundry is needed; hotel service and washing clothes,Use 'I need laundry' in explaining that laundry is needed; hotel service and washing clothes.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|need,batch_2_ai_generated_needs_native_speaker_review
ethio-0715,Useful Phrases,where is the laundry,ልብስ ማጠቢያ የት ነው,libs matebiya yet new,uffata miicuu eessa jira,uffata miicuu eessa jira,asking location of laundry; hotel service and washing clothes,Use 'where is the laundry' in asking location of laundry; hotel service and washing clothes.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|location,batch_2_ai_generated_needs_native_speaker_review
ethio-0716,Useful Phrases,how much is the laundry,ልብስ ማጠቢያ ስንት ነው,libs matebiya sint new,uffata miicuu meeqa,uffata miicuu meeqa,asking price or cost of laundry; hotel service and washing clothes,Use 'how much is the laundry' in asking price or cost of laundry; hotel service and washing clothes.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|market,batch_2_ai_generated_needs_native_speaker_review
ethio-0717,Useful Phrases,please give me laundry,ልብስ ማጠቢያ እባክዎ ይስጡኝ,libs matebiya ibakwo yistugn,uffata miicuu maaloo naaf kenni,uffata miicuu maaloo naaf kenni,polite request for laundry; hotel service and washing clothes,Use 'please give me laundry' in polite request for laundry; hotel service and washing clothes.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|polite,batch_2_ai_generated_needs_native_speaker_review
ethio-0718,Useful Phrases,the laundry is not working,ልብስ ማጠቢያ አይሰራም,libs matebiya ayiseram,uffata miicuu hin hojjetu,uffata miicuu hin hojjetu,reporting a problem with laundry; hotel service and washing clothes,Use 'the laundry is not working' in reporting a problem with laundry; hotel service and washing clothes.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|problem,batch_2_ai_generated_needs_native_speaker_review
ethio-0719,Useful Phrases,I want air conditioner,አየር ማቀዝቀዣ እፈልጋለሁ,ayer makezkaza ifeligalehu,qabbaneessituu qilleensaa nan barbaada,qabbaneessituu qilleensaa nan barbaada,requesting air conditioner; hotel room comfort and hot weather,Use 'I want air conditioner' in requesting air conditioner; hotel room comfort and hot weather.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|request,batch_2_ai_generated_needs_native_speaker_review
ethio-0720,Useful Phrases,I need air conditioner,አየር ማቀዝቀዣ ያስፈልገኛል,ayer makezkaza yasfelgeñal,qabbaneessituu qilleensaa na barbaachisa,qabbaneessituu qilleensaa na barbaachisa,explaining that air conditioner is needed; hotel room comfort and hot weather,Use 'I need air conditioner' in explaining that air conditioner is needed; hotel room comfort and hot weather.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|need,batch_2_ai_generated_needs_native_speaker_review
ethio-0721,Useful Phrases,where is the air conditioner,አየር ማቀዝቀዣ የት ነው,ayer makezkaza yet new,qabbaneessituu qilleensaa eessa jira,qabbaneessituu qilleensaa eessa jira,asking location of air conditioner; hotel room comfort and hot weather,Use 'where is the air conditioner' in asking location of air conditioner; hotel room comfort and hot weather.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|location,batch_2_ai_generated_needs_native_speaker_review
ethio-0722,Useful Phrases,how much is the air conditioner,አየር ማቀዝቀዣ ስንት ነው,ayer makezkaza sint new,qabbaneessituu qilleensaa meeqa,qabbaneessituu qilleensaa meeqa,asking price or cost of air conditioner; hotel room comfort and hot weather,Use 'how much is the air conditioner' in asking price or cost of air conditioner; hotel room comfort and hot weather.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|market,batch_2_ai_generated_needs_native_speaker_review
ethio-0723,Useful Phrases,please give me air conditioner,አየር ማቀዝቀዣ እባክዎ ይስጡኝ,ayer makezkaza ibakwo yistugn,qabbaneessituu qilleensaa maaloo naaf kenni,qabbaneessituu qilleensaa maaloo naaf kenni,polite request for air conditioner; hotel room comfort and hot weather,Use 'please give me air conditioner' in polite request for air conditioner; hotel room comfort and hot weather.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|polite,batch_2_ai_generated_needs_native_speaker_review
ethio-0724,Useful Phrases,the air conditioner is not working,አየር ማቀዝቀዣ አይሰራም,ayer makezkaza ayiseram,qabbaneessituu qilleensaa hin hojjetu,qabbaneessituu qilleensaa hin hojjetu,reporting a problem with air conditioner; hotel room comfort and hot weather,Use 'the air conditioner is not working' in reporting a problem with air conditioner; hotel room comfort and hot weather.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|problem,batch_2_ai_generated_needs_native_speaker_review
ethio-0725,Useful Phrases,I want fan,አድናቂ ማሽን እፈልጋለሁ,adnaqi mashin ifeligalehu,faanii nan barbaada,faanii nan barbaada,requesting fan; room cooling and airflow,Use 'I want fan' in requesting fan; room cooling and airflow.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|request,batch_2_ai_generated_needs_native_speaker_review
ethio-0726,Useful Phrases,I need fan,አድናቂ ማሽን ያስፈልገኛል,adnaqi mashin yasfelgeñal,faanii na barbaachisa,faanii na barbaachisa,explaining that fan is needed; room cooling and airflow,Use 'I need fan' in explaining that fan is needed; room cooling and airflow.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|need,batch_2_ai_generated_needs_native_speaker_review
ethio-0727,Useful Phrases,where is the fan,አድናቂ ማሽን የት ነው,adnaqi mashin yet new,faanii eessa jira,faanii eessa jira,asking location of fan; room cooling and airflow,Use 'where is the fan' in asking location of fan; room cooling and airflow.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|location,batch_2_ai_generated_needs_native_speaker_review
ethio-0728,Useful Phrases,how much is the fan,አድናቂ ማሽን ስንት ነው,adnaqi mashin sint new,faanii meeqa,faanii meeqa,asking price or cost of fan; room cooling and airflow,Use 'how much is the fan' in asking price or cost of fan; room cooling and airflow.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|market,batch_2_ai_generated_needs_native_speaker_review
ethio-0729,Useful Phrases,please give me fan,አድናቂ ማሽን እባክዎ ይስጡኝ,adnaqi mashin ibakwo yistugn,faanii maaloo naaf kenni,faanii maaloo naaf kenni,polite request for fan; room cooling and airflow,Use 'please give me fan' in polite request for fan; room cooling and airflow.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|polite,batch_2_ai_generated_needs_native_speaker_review
ethio-0730,Useful Phrases,the fan is not working,አድናቂ ማሽን አይሰራም,adnaqi mashin ayiseram,faanii hin hojjetu,faanii hin hojjetu,reporting a problem with fan; room cooling and airflow,Use 'the fan is not working' in reporting a problem with fan; room cooling and airflow.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|problem,batch_2_ai_generated_needs_native_speaker_review
ethio-0731,Useful Phrases,I want heater,ማሞቂያ እፈልጋለሁ,mamoqiya ifeligalehu,hoʼisituu nan barbaada,hoisituu nan barbaada,requesting heater; cold weather and room comfort,Use 'I want heater' in requesting heater; cold weather and room comfort.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|request,batch_2_ai_generated_needs_native_speaker_review
ethio-0732,Useful Phrases,I need heater,ማሞቂያ ያስፈልገኛል,mamoqiya yasfelgeñal,hoʼisituu na barbaachisa,hoisituu na barbaachisa,explaining that heater is needed; cold weather and room comfort,Use 'I need heater' in explaining that heater is needed; cold weather and room comfort.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|need,batch_2_ai_generated_needs_native_speaker_review
ethio-0733,Useful Phrases,where is the heater,ማሞቂያ የት ነው,mamoqiya yet new,hoʼisituu eessa jira,hoisituu eessa jira,asking location of heater; cold weather and room comfort,Use 'where is the heater' in asking location of heater; cold weather and room comfort.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|location,batch_2_ai_generated_needs_native_speaker_review
ethio-0734,Useful Phrases,how much is the heater,ማሞቂያ ስንት ነው,mamoqiya sint new,hoʼisituu meeqa,hoisituu meeqa,asking price or cost of heater; cold weather and room comfort,Use 'how much is the heater' in asking price or cost of heater; cold weather and room comfort.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|market,batch_2_ai_generated_needs_native_speaker_review
ethio-0735,Useful Phrases,please give me heater,ማሞቂያ እባክዎ ይስጡኝ,mamoqiya ibakwo yistugn,hoʼisituu maaloo naaf kenni,hoisituu maaloo naaf kenni,polite request for heater; cold weather and room comfort,Use 'please give me heater' in polite request for heater; cold weather and room comfort.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|polite,batch_2_ai_generated_needs_native_speaker_review
ethio-0736,Useful Phrases,the heater is not working,ማሞቂያ አይሰራም,mamoqiya ayiseram,hoʼisituu hin hojjetu,hoisituu hin hojjetu,reporting a problem with heater; cold weather and room comfort,Use 'the heater is not working' in reporting a problem with heater; cold weather and room comfort.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|problem,batch_2_ai_generated_needs_native_speaker_review
ethio-0737,Useful Phrases,I want wifi password,የዋይፋይ የይለፍ ቃል እፈልጋለሁ,ye-wifi yelef qal ifeligalehu,jecha icciitii waayifaayii nan barbaada,jecha icciitii waayifaayii nan barbaada,"requesting wifi password; hotel, cafe, and office internet access","Use 'I want wifi password' in requesting wifi password; hotel, cafe, and office internet access.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|request,batch_2_ai_generated_needs_native_speaker_review
ethio-0738,Useful Phrases,I need wifi password,የዋይፋይ የይለፍ ቃል ያስፈልገኛል,ye-wifi yelef qal yasfelgeñal,jecha icciitii waayifaayii na barbaachisa,jecha icciitii waayifaayii na barbaachisa,"explaining that wifi password is needed; hotel, cafe, and office internet access","Use 'I need wifi password' in explaining that wifi password is needed; hotel, cafe, and office internet access.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|need,batch_2_ai_generated_needs_native_speaker_review
ethio-0739,Useful Phrases,where is the wifi password,የዋይፋይ የይለፍ ቃል የት ነው,ye-wifi yelef qal yet new,jecha icciitii waayifaayii eessa jira,jecha icciitii waayifaayii eessa jira,"asking location of wifi password; hotel, cafe, and office internet access","Use 'where is the wifi password' in asking location of wifi password; hotel, cafe, and office internet access.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|location,batch_2_ai_generated_needs_native_speaker_review
ethio-0740,Useful Phrases,how much is the wifi password,የዋይፋይ የይለፍ ቃል ስንት ነው,ye-wifi yelef qal sint new,jecha icciitii waayifaayii meeqa,jecha icciitii waayifaayii meeqa,"asking price or cost of wifi password; hotel, cafe, and office internet access","Use 'how much is the wifi password' in asking price or cost of wifi password; hotel, cafe, and office internet access.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|market,batch_2_ai_generated_needs_native_speaker_review
ethio-0741,Useful Phrases,please give me wifi password,የዋይፋይ የይለፍ ቃል እባክዎ ይስጡኝ,ye-wifi yelef qal ibakwo yistugn,jecha icciitii waayifaayii maaloo naaf kenni,jecha icciitii waayifaayii maaloo naaf kenni,"polite request for wifi password; hotel, cafe, and office internet access","Use 'please give me wifi password' in polite request for wifi password; hotel, cafe, and office internet access.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|polite,batch_2_ai_generated_needs_native_speaker_review
ethio-0742,Useful Phrases,the wifi password is not working,የዋይፋይ የይለፍ ቃል አይሰራም,ye-wifi yelef qal ayiseram,jecha icciitii waayifaayii hin hojjetu,jecha icciitii waayifaayii hin hojjetu,"reporting a problem with wifi password; hotel, cafe, and office internet access","Use 'the wifi password is not working' in reporting a problem with wifi password; hotel, cafe, and office internet access.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|problem,batch_2_ai_generated_needs_native_speaker_review
ethio-0743,Useful Phrases,I want tour guide,የጉብኝት መመሪያ እፈልጋለሁ,ye-gubgnit memeriya ifeligalehu,qajeelchaa daawwannaa nan barbaada,qajeelchaa daawwannaa nan barbaada,requesting tour guide; tourism and cultural visits,Use 'I want tour guide' in requesting tour guide; tourism and cultural visits.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|request,batch_2_ai_generated_needs_native_speaker_review
ethio-0744,Useful Phrases,I need tour guide,የጉብኝት መመሪያ ያስፈልገኛል,ye-gubgnit memeriya yasfelgeñal,qajeelchaa daawwannaa na barbaachisa,qajeelchaa daawwannaa na barbaachisa,explaining that tour guide is needed; tourism and cultural visits,Use 'I need tour guide' in explaining that tour guide is needed; tourism and cultural visits.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|need,batch_2_ai_generated_needs_native_speaker_review
ethio-0745,Useful Phrases,where is the tour guide,የጉብኝት መመሪያ የት ነው,ye-gubgnit memeriya yet new,qajeelchaa daawwannaa eessa jira,qajeelchaa daawwannaa eessa jira,asking location of tour guide; tourism and cultural visits,Use 'where is the tour guide' in asking location of tour guide; tourism and cultural visits.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|location,batch_2_ai_generated_needs_native_speaker_review
ethio-0746,Useful Phrases,how much is the tour guide,የጉብኝት መመሪያ ስንት ነው,ye-gubgnit memeriya sint new,qajeelchaa daawwannaa meeqa,qajeelchaa daawwannaa meeqa,asking price or cost of tour guide; tourism and cultural visits,Use 'how much is the tour guide' in asking price or cost of tour guide; tourism and cultural visits.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|market,batch_2_ai_generated_needs_native_speaker_review
ethio-0747,Useful Phrases,please give me tour guide,የጉብኝት መመሪያ እባክዎ ይስጡኝ,ye-gubgnit memeriya ibakwo yistugn,qajeelchaa daawwannaa maaloo naaf kenni,qajeelchaa daawwannaa maaloo naaf kenni,polite request for tour guide; tourism and cultural visits,Use 'please give me tour guide' in polite request for tour guide; tourism and cultural visits.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|polite,batch_2_ai_generated_needs_native_speaker_review
ethio-0748,Useful Phrases,the tour guide is not working,የጉብኝት መመሪያ አይሰራም,ye-gubgnit memeriya ayiseram,qajeelchaa daawwannaa hin hojjetu,qajeelchaa daawwannaa hin hojjetu,reporting a problem with tour guide; tourism and cultural visits,Use 'the tour guide is not working' in reporting a problem with tour guide; tourism and cultural visits.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|problem,batch_2_ai_generated_needs_native_speaker_review
